,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
0,2019-11-01 00:00:02 UTC,view,5802432,"1,4875800092866E+018",,,0.32,562076640,09fafd6c-6c99-46b1-834f-33527f4de241
1,2019-11-01 00:00:09 UTC,cart,5844397,"1,48758000631703E+018",,,2.38,553329724,2067216c-31b5-455d-a1cc-af0575a34ffb
2,2019-11-01 00:00:10 UTC,view,5837166,"1,78399906410319E+018",,pnb,22.22,556138645,57ed222e-a54a-4907-9944-5a875c2d7f4f
3,2019-11-01 00:00:11 UTC,cart,5876812,"1,48758001010029E+018",,jessnail,3.16,564506666,186c1951-8052-4b37-adce-dd9644b1d5f7
4,2019-11-01 00:00:24 UTC,remove_from_cart,5826182,"1,48758000748305E+018",,,3.33,553329724,2067216c-31b5-455d-a1cc-af0575a34ffb
5,2019-11-01 00:00:24 UTC,remove_from_cart,5826182,"1,48758000748305E+018",,,3.33,553329724,2067216c-31b5-455d-a1cc-af0575a34ffb
6,2019-11-01 00:00:25 UTC,view,5856189,"1,48758000902655E+018",,runail,15.71,562076640,09fafd6c-6c99-46b1-834f-33527f4de241
7,2019-11-01 00:00:32 UTC,view,5837835,"1,93347228675342E+018",,,3.49,514649199,432a4e95-375c-4b40-bd36-0fc039e77580
8,2019-11-01 00:00:34 UTC,remove_from_cart,5870838,"1,48758000767599E+018",,milv,0.79,429913900,2f0bff3c-252f-4fe6-afcd-5d8a6a92839a
9,2019-11-01 00:00:37 UTC,view,5870803,"1,48758000767599E+018",,milv,0.79,429913900,2f0bff3c-252f-4fe6-afcd-5d8a6a92839a
10,2019-11-01 00:00:42 UTC,remove_from_cart,5870803,"1,48758000767599E+018",,milv,0.79,429913900,2f0bff3c-252f-4fe6-afcd-5d8a6a92839a
11,2019-11-01 00:00:46 UTC,view,5841721,"1,48758000818769E+018",,,1.37,429913900,2f0bff3c-252f-4fe6-afcd-5d8a6a92839a
12,2019-11-01 00:00:50 UTC,view,5856190,"1,48758000902655E+018",,runail,15.71,562076640,09fafd6c-6c99-46b1-834f-33527f4de241
13,2019-11-01 00:00:51 UTC,remove_from_cart,5710314,"1,48758000526846E+018",,lianail,5.54,566239468,3ad69360-e328-454a-b1f8-0e0901e1e344
